TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ10,cDXOH,0,Each,1.0,16002.597952576001,134862.72999999998,44599.63,0,24440.79,0.0,25218.08,0,0,40600.87,0,0,0.0,0,0,0,502.2436860068259,0.0,0.0,502.2436860068259,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ09,cDXOH,0,Each,1.0,16002.597952576001,130318.67,44599.63,0,24440.79,0.0,21849.05,0,0,39425.84,0,0,0.0,0,0,0,506.35153583617745,0.0,0.0,506.35153583617745,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ08,cDXOH,0,Each,1.0,16002.597952576001,127823.46,44599.63,0,24440.79,0.0,21104.99,0,0,37674.69,0,0,0.0,0,0,0,504.0348122866894,0.0,0.0,504.0348122866894,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ07,cDXOH,0,Each,1.0,16002.597952576001,116844.49,44599.63,0,24440.79,0.0,13248.92,0,0,34551.79,0,0,0.0,0,0,0,510.81228668941975,0.0,0.0,510.81228668941975,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ06,cDXOH,0,Each,1.0,16002.597952576001,115064.75,44599.63,0,24440.79,0.0,12236.39,0,0,33784.58,0,0,0.0,0,0,0,514.221843003413,0.0,0.0,514.221843003413,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ05,cDXOH,0,Each,1.0,16002.597952576001,107891.43999999999,44599.63,0,24440.79,0.0,5762.09,0,0,33085.57,0,0,0.0,0,0,0,542.6317406143345,0.0,0.0,542.6317406143345,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ04,cDXOH,0,Each,1.0,16002.597952576001,125096.73,44599.63,0,24440.79,0.0,18288.26,0,0,37764.69,0,0,0.0,0,0,0,530.8464163822525,0.0,0.0,530.8464163822525,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ03,cDXOH,0,Each,1.0,16002.597952576001,105389.49,44599.63,0,24440.79,0.0,4375.86,0,0,31969.85,0,0,0.0,0,0,0,540.975085324232,0.0,0.0,540.975085324232,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ02,cDXOH,0,Each,1.0,16002.597952576001,114566.23,44599.63,0,24440.79,0.0,10585.57,0,0,34936.88,0,0,0.0,0,0,0,545.0064846416383,0.0,0.0,545.0064846416383,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,RtS,Ex,CZ01,cDXOH,0,Each,1.0,16002.597952576001,95466.48,44599.63,0,24440.79,0.0,348.86,0,0,26073.84,0,0,0.0,0,0,0,569.3044368600682,0.0,0.0,569.3044368600682,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ16,cDXHP,0,Each,1.0,16002.597952576001,124752.83999999998,44599.63,0,24440.79,5177.99,8734.83,0,0,41796.24,0,0,0.0,0,0,0,561.1839590443685,0.0,0.0,561.1839590443685,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ15,cDXHP,0,Each,1.0,16002.597952576001,164532.15,44599.63,0,24440.79,209.2,51129.32,0,0,44149.85,0,0,0.0,0,0,0,453.5890784982935,0.0,0.0,453.5890784982935,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ14,cDXHP,0,Each,1.0,16002.597952576001,137918.09,44599.63,0,24440.79,1981.56,26808.74,0,0,40084.01,0,0,0.0,0,0,0,512.9849829351535,0.0,0.0,512.9849829351535,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ13,cDXHP,0,Each,1.0,16002.597952576001,140347.90999999997,44599.63,0,24440.79,2352.78,28606.82,0,0,40344.53,0,0,0.0,0,0,0,503.803071672355,0.0,0.0,503.803071672355,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ12,cDXHP,0,Each,1.0,16002.597952576001,128040.45,44599.63,0,24440.79,2873.7,18595.55,0,0,37527.42,0,0,0.0,0,0,0,525.6692832764505,0.0,0.0,525.6692832764505,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ11,cDXHP,0,Each,1.0,16002.597952576001,139939.93,44599.63,0,24440.79,2905.89,27243.39,0,0,40746.87,0,0,0.0,0,0,0,510.42081911262795,0.0,0.0,510.42081911262795,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ10,cDXHP,0,Each,1.0,16002.597952576001,137171.80999999997,44599.63,0,24440.79,866.67,26059.43,0,0,41201.93,0,0,0.0,0,0,0,502.2436860068259,0.0,0.0,502.2436860068259,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ09,cDXHP,0,Each,1.0,16002.597952576001,132133.27999999997,44599.63,0,24440.79,704.69,22501.0,0,0,39883.81,0,0,0.0,0,0,0,506.35153583617745,0.0,0.0,506.35153583617745,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXHP-2SpClgHtg-Cnst,None,RtS,Ex,CZ08,cDXHP,0,Each,1.0,16002.597952576001,129563.12999999999,44599.63,0,24440.79,491.68,21863.86,0,0,38163.81,0,0,0.0,0,0,0,504.0348122866894,0.0,0.0,504.0348122866894,1,1,2026-07-16 22:51:30.560719
